map_name;map_id;tier;rating
conc_concept;765;2;1
df_recapture_final;774;1;4
jump_;671;7;3
jump_4dakids_final;346;2;4
jump_4demo_fixed5;4;2;2
jump_4holers_fix;650;3;3
jump_4soldier_redo;545;1;4
jump_4starters_rc1;5;2;4
jump_5holers_final;729;3;3
jump_aando_b1_tmps;360;4;1
jump_a_b3;750;3;3
jump_abandon;481;1;2
jump_ablation_b4;376;4;4
jump_above_rc1;207;1;4
jump_abuq;6;3;4
jump_abyss_rc2;452;2;4
jump_acepogo;7;3;1
jump_achlys;752;1;1
jump_across_a27;567;3;1
jump_adam;759;2;2
jump_adventure;8;1;3
jump_aggregate_zip;357;3;3
jump_ahh_c;651;1;3
jump_ahrabaid_b2;653;4;3
jump_aigis_a4;262;4;4
jump_air;9;4;1
jump_airshift_a4;478;1;1
jump_airships_v2;337;2;4
jump_alder_rc3;751;1;4
jump_alienvspredator_v3;699;5;3
jump_allstars_fix;10;2;4
jump_amazon_b1;11;1;1
jump_and;713;5;1
jump_andromeda;755;3;4
jump_anime;592;3;3
jump_annex_v5;12;2;4
jump_anothermap_rc3;739;3;1
jump_ante;529;2;4
jump_antiquity;483;4;1
jump_anxiety_a9;568;6;2
jump_aperture_rc15_fix;603;1;4
jump_apex_b1;208;3;4
jump_apparition;689;2;4
jump_aqua;396;2;4
jump_arcane_final;728;2;4
jump_arc_b1_tmps;365;2;3
jump_arctic_a2;224;1;4
jump_areae_b2;582;3;3
jump_aridia;13;1;3
jump_aris_a3;197;1;4
jump_ariser_fix;386;1;4
jump_armaldo;342;1;4
jump_armature_final_zip;464;4;2
jump_around_cr;14;3;1
jump_artificial_a13;508;4;1
jump_arugula_b4;296;4;1
jump_ascent_final;412;1;4
jump_asdf;15;3;1
jump_asshole_a3;16;1;4
jump_ataronchronon_b2;495;2;2
jump_aten_test;17;4;1
jump_attached2_rcx;387;3;3
jump_attached3_final;731;2;2
jump_attached_b2;213;3;3
jump_auga_final;574;1;4
jump_aura_b4;353;1;4
jump_aurora_v2;222;3;1
jump_authn_b6;686;3;1
jump_autumn_rc3;496;2;2
jump_avalanche;735;2;4
jump_aviator;19;3;4
jump_ayers2_a8_zip;170;2;4
jump_ayers_v2;20;1;1
jump_azazel;746;4;1
jump_aznbob_fixed;21;3;1
jump_azure_v2;22;3;4
jump_babylon;227;1;4
jump_back_v3;659;2;4
jump_bait_a6;642;1;1
jump_ballin_a3;23;1;4
jump_balls_fix;762;2;4
jump_banane;339;3;4
jump_bane;546;6;1
jump_bangarang;379;2;4
jump_baqu_a2;24;4;4
jump_bear;431;2;4
jump_beef;1;1;3
jump_beefmas;25;1;4
jump_beefoween_b1;537;1;4
jump_beefster;742;1;4
jump_benny;273;2;4
jump_benroads2_a3;292;2;4
jump_benroads3;581;2;4
jump_benroads_a5;246;3;4
jump_beryllium_v5;709;1;1
jump_beyond_b3;287;1;4
jump_bigbutt_b1;26;1;4
jump_biolab;780;2;4
jump_biome;389;2;4
jump_blables_b2;300;3;4
jump_blackout_a2;254;1;4
jump_blossom_s3f_fix2;248;1;3
jump_blubber_b4;648;2;4
jump_blueberry_b3;230;1;4
jump_bob_fixed;27;2;1
jump_bojack_v2;359;1;4
jump_bomb;28;3;4
jump_bongwater;530;1;4
jump_bonus;331;5;4
jump_boogiewoogie_a29;725;2;4
jump_booyah_jmc;627;2;1
jump_boredfox2_b1;453;1;4
jump_boredfox_b1;367;1;4
jump_boredgorge;428;1;3
jump_bounce;29;1;3
jump_bouncehop;220;2;4
jump_bouncelicious;583;3;2
jump_bouncerific_v2;279;2;3
jump_broccoli;182;2;4
jump_bromelia_final;557;2;4
jump_bunker_final;264;2;3
jump_butter;293;2;4
jump_buttered_b2;294;2;4
jump_byhicrine;539;2;4
jump_cabal_b6;769;5;2
jump_cake;30;3;1
jump_camp_rc2;488;2;4
jump_canyon_b1;368;1;4
jump_carp_b2;647;2;1
jump_carrot_a5;199;5;1
jump_catch_final;335;1;4
jump_causatham_rc5;711;3;2
jump_cavern_final;460;3;1
jump_celeriix;723;4;2
jump_cetalu_rc1;524;3;4
jump_chambers_v2;275;2;4
jump_chasm_final;563;3;4
jump_cheval;31;2;3
jump_chocological;536;2;4
jump_christmas_zip;247;2;4
jump_classics_a3;724;3;3
jump_claustro_final;263;4;4
jump_claustro_v2;317;3;4
jump_codegreen_b4;573;2;4
jump_collab;32;2;4
jump_competitive_b2;33;2;2
jump_composite;310;4;2
jump_compound;373;3;2
jump_concept_a5;340;3;4
jump_concrete_rc1;570;1;4
jump_confiote_rc1;763;2;4
jump_contact;34;3;1
jump_cool_b2;244;2;4
jump_core_b1_zip;325;2;4
jump_corona_v2;672;2;4
jump_cow;439;1;4
jump_craze;435;1;2
jump_crunch;494;1;4
jump_crypt;210;2;3
jump_cube_b4;215;3;4
jump_cubic_zip;231;2;4
jump_cyskic_final;637;2;4
jump_dad;270;1;4
jump_daeva;721;5;1
jump_dahl;271;2;4
jump_dahlia_b1;629;1;4
jump_damer_rc6;449;2;4
jump_dan2;299;3;2
jump_dang;297;5;2
jump_dang_r;493;6;3
jump_data_final;472;3;1
jump_daylight_a2;35;3;1
jump_ddpls;427;2;4
jump_deep_final;664;2;4
jump_demania_rc2;652;3;3
jump_demolition;36;3;1
jump_demonstrationman_a4;474;3;1
jump_depleted;377;3;1
jump_depression_a11;643;4;3
jump_desa_rc2;354;4;2
jump_descent_v5;381;1;4
jump_deserted_b1;37;2;1
jump_desolate_rc6;715;2;4
jump_destination;214;2;4
jump_destination_v2;408;2;4
jump_detached_rcx;656;2;2
jump_devils_redo;38;3;1
jump_diabarha_b2;419;4;3
jump_diamant_rc5;631;3;4
jump_dicks_c;597;1;4
jump_diirtyxweezy_a1;193;5;1
jump_dink_b2;39;3;4
jump_donut_v3;700;2;4
jump_doodle_b9;429;2;4
jump_doom_final;775;1;4
jump_dread_a3;504;4;1
jump_dreamier;397;4;2
jump_dreamy_final_fix;370;2;2
jump_drenched;40;3;2
jump_drexen;41;3;1
jump_drexen2;42;3;2
jump_drheinz;226;3;1
jump_drought_b1;43;5;1
jump_duality_tpn;403;3;1
jump_duey_v2;44;2;4
jump_dystopia;45;2;4
jump_echelon_rc1;703;2;4
jump_echo;576;3;4
jump_edgebug_b2;46;3;4
jump_egyptian_b2;47;2;1
jump_eight_b5;575;1;3
jump_einfache_b1;48;1;3
jump_elephant_a2;209;1;4
jump_eleven_v11;779;2;1
jump_elite;456;4;1
jump_elysium_fn;49;3;2
jump_ember_rc6;712;3;4
jump_embrace;50;2;3
jump_empusa_final;600;2;4
jump_endurance_rc2;51;4;2
jump_eons_b2;52;1;4
jump_escape_rc4;644;2;4
jump_esri;411;4;1
jump_estrogen_a4;547;6;1
jump_eu;760;3;1
jump_evac_a3;465;3;1
jump_everest_a3;53;2;4
jump_evolved_final;571;4;4
jump_excavation_final;54;1;1
jump_exilenpals;56;3;4
jump_exile_v3;55;1;4
jump_ezekiel_beta3;251;2;4
jump_ezpz_v4;223;2;4
jump_facility;57;2;4
jump_factory;741;2;4
jump_fart2_final;528;5;2
jump_fart_final;490;5;2
jump_fastnfar_b1;400;6;4
jump_fauvism_a2;196;2;4
jump_fayte_final;632;1;4
jump_fear_redo;58;1;4
jump_festivus;440;2;4
jump_fifth;415;2;4
jump_finite_v2;203;2;4
jump_fisyx;60;3;1
jump_five_b2;734;1;2
jump_fizzydrink_a2;334;2;4
jump_flashblack;286;1;4
jump_flood;658;2;2
jump_flow_redo;221;2;4
jump_flukhtiz_v2_b2;298;1;4
jump_flux;405;3;1
jump_forest_rc4;584;1;4
jump_forgotten_rc5;624;2;4
jump_foss;391;5;2
jump_foundation_a2;62;2;4
jump_fox;63;1;4
jump_frayb_a4;64;3;2
jump_free_b2;291;2;4
jump_freezeflame_easy;420;1;4
jump_frogspit;639;3;3
jump_frost_a1;393;5;4
jump_frost_redo_v2;548;2;4
jump_froyo_b3;766;2;4
jump_future_rebuild;184;2;1
jump_galaktikon_b2;767;2;1
jump_garbage_a7;586;3;1
jump_gateway_final;65;3;4
jump_gaylord;313;3;4
jump_gaylord2;338;3;4
jump_geronimo;579;3;4
jump_gervais_v3;701;4;3
jump_glassydev_final;318;4;2
jump_glassydev_rc3;234;4;3
jump_glow_v4;66;3;3
jump_gman_beta5_final_rebuild_rc1;326;2;1
jump_gr8_wite_final;179;2;4
jump_grape_final;517;3;1
jump_greenguy_rc2;730;3;1
jump_grimace;67;2;1
jump_grotto_rc2;497;1;4
jump_hajnal_finalbeta;68;2;4
